Year (year),Month (month),State Name (state_name),State Code (state_code),Assembly No (assembly_no),Assembly Constituency Name (ac_name),Assmebly Constituency Type (ac_type),Candidate Name (candidate_name),Sex (sex),Age (age),Candidate Type (candidate_type),Party (party),Position (position),Assembly Constituency Candidates (ac_total_candidates),Total Electors in Constituency (total_electors),Total Votes Obtained (total_votes),Total Valid Votes (total_valid_votes),Vote Share Percentage (vote_share_percentage),Margin (margin),Margin Percentage (margin_percentage),Turn out Percentage (turnout_percentage),Poll No (poll_no),Delimit Id (delimit_id)
"2019","4","Andhra Pradesh","28","15.0","Madakasira","SC","K Aswarthanarayana","MALE","48.0","SC","INC","3.0","8.0","201881.0","6495.0","177103.0","3.67","3839.0","2.17","87.73","0.0","4.0"
"2014","12","Jharkhand","20","3.0","Ranchi","GEN","Rajiv Ranjan Mishra","MALE","53.0","GEN","JVM","4.0","17.0","305969.0","2622.0","148737.0","1.76","1565.0","1.05","48.61","0.0","4.0"
"2011","2","West Bengal","19","15.0","Bhatar","GEN","Konar Srijit","MALE","48.0","GEN","CPM","2.0","5.0","197674.0","83585.0","177377.0","47.12","77999.0","43.97","89.73","0.0","4.0"
"2020","11","Bihar","10","17.0","Mahua","GEN","Jaynarayan Sah","MALE","65.0","GEN","BJKVP","19.0","24.0","286501.0","652.0","171699.0","0.38","87.0","0.05","59.93","0.0","4.0"
"2010","5","Karnataka","29","8.0","Gulbarga Dakshin","GEN","S Kattoli","None","","GEN","IND","7.0","11.0","194199.0","612.0","115378.0","0.53","252.0","0.22","59.41","1.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Veerapandi","GEN","Anbarasan V C","MALE","53.0","GEN","IJK","9.0","13.0","201660.0","259.0","179729.0","0.14","103.0","0.06","89.12","0.0","4.0"
"2012","3","Manipur","14","11.0","Henglep","ST","Sehpu Haokip","MALE","53.0","ST","NPF","3.0","6.0","27288.0","3326.0","17410.0","19.1","459.0","2.64","63.8","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Fatehpur Sikri","GEN","Chandrabhan","MALE","52.0","GEN","JD","14.0","16.0","307053.0","462.0","203064.0","0.23","11.0","0.01","66.13","0.0","4.0"
"2012","12","Gujarat","24","12.0","Patan","GEN","Thakor Ranjitbhai Chamanji","MALE","51.0","GEN","IND","11.0","15.0","232141.0","408.0","163632.0","0.25","27.0","0.02","70.49","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Kalasapakkam","GEN","Rajendran M S","MALE","50.0","GEN","IJK","5.0","13.0","180390.0","1329.0","155790.0","0.85","6.0","0.0","86.36","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Gauriganj","GEN","Mohammad Nayeem","MALE","49.0","GEN","INC","2.0","23.0","309472.0","43784.0","181832.0","24.08","8891.0","4.89","58.76","0.0","4.0"
"2021","5","Assam","18","15.0","Jonai","ST","Phaniram Tayeng","MALE","67.0","ST","AJP","3.0","6.0","312941.0","7726.0","245158.0","3.15","1322.0","0.54","78.34","0.0","4.0"
"2012","12","Gujarat","24","12.0","Savarkundla","GEN","Maheshbhai Sudani","MALE","47.0","GEN","GPP","4.0","9.0","211793.0","14107.0","131496.0","10.73","199.0","0.15","62.09","0.0","4.0"
"2016","5","West Bengal","19","16.0","Domjur","GEN","Sabila Begum Sardar","FEMALE","41.0","GEN","IUC","6.0","8.0","259741.0","2438.0","219557.0","1.11","354.0","0.16","84.53","0.0","4.0"
"2013","12","Rajasthan","08","14.0","Khinwsar","GEN","Hanuman Beniwal","MALE","41.0","GEN","IND","1.0","9.0","203736.0","65399.0","156998.0","41.66","23020.0","14.66","77.06","0.0","4.0"
"2009","5","Andhra Pradesh","28","13.0","Charminar","GEN","Syed Ahmed Pasha Quadri","MALE","50.0","GEN","AIMIM","1.0","11.0","166938.0","43725.0","89955.0","48.61","10695.0","11.89","53.89","0.0","4.0"
"2013","5","Karnataka","29","9.0","Ranibennur","GEN","Arunkumar Pujar","MALE","35.0","GEN","BJP","5.0","14.0","200778.0","9476.0","159167.0","5.95","6501.0","4.08","79.28","0.0","4.0"
"2013","12","Rajasthan","08","14.0","Mandalgarh","GEN","Shiv Lal Harijan","MALE","32.0","GEN","JGP","8.0","8.0","200984.0","1639.0","165938.0","0.99","849.0","0.51","82.56","0.0","4.0"
"2015","11","Bihar","10","16.0","Jagdishpur","GEN","Chandradip Singh","MALE","59.0","GEN","CPI(ML)(L)","3.0","22.0","285267.0","18154.0","144930.0","12.53","9030.0","6.23","50.81","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Surkhi","GEN","Hafeez Bhai","MALE","44.0","GEN","CPI","6.0","17.0","184527.0","1483.0","136425.0","1.09","108.0","0.08","73.93","0.0","4.0"
"2017","12","Gujarat","24","13.0","Dangs","ST","Bhoye Yogeshbhai Soniravbhai","MALE","44.0","ST","AINHCP","6.0","5.0","166434.0","1277.0","122672.0","1.04","0.0","0.0","73.71","0.0","4.0"
"2018","12","Madhya Pradesh","23","15.0","Vijaypur","GEN","Kamlesh","MALE","","GEN","IND","11.0","15.0","220833.0","719.0","173505.0","0.41","176.0","0.1","78.57","0.0","4.0"
"2013","12","Rajasthan","08","14.0","Khandela","GEN","Ramdev Singh","MALE","48.0","GEN","IND","10.0","9.0","203289.0","613.0","149923.0","0.41","0.0","0.0","73.75","0.0","4.0"
"2018","12","Madhya Pradesh","23","15.0","Gwalior South","GEN","Gajendra Singh Kushwah","MALE","","GEN","RRM","11.0","15.0","252228.0","250.0","152430.0","0.16","71.0","0.05","60.43","0.0","4.0"
"2021","5","Puducherry","34","14.0","Neravy T.R. Pattinam","GEN","S Sellamuthu","MALE","40.0","GEN","IJK","10.0","9.0","31928.0","35.0","26006.0","0.13","0.0","0.0","81.45","0.0","4.0"
"2009","12","Jharkhand","20","2.0","Borio","ST","Rodrick Hembrom","MALE","43.0","ST","IND","9.0","15.0","203182.0","1337.0","113973.0","1.17","61.0","0.05","56.09","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Mailam","GEN","Sivaraj M","MALE","29.0","GEN","JMM(U)","8.0","11.0","183634.0","503.0","151434.0","0.33","195.0","0.13","82.47","0.0","4.0"
"2014","5","Arunachal Pradesh","12","9.0","Yachuli","ST","Taba Nirmali","FEMALE","50.0","ST","NCP","2.0","3.0","15171.0","6615.0","13938.0","47.46","6046.0","43.38","91.87","0.0","4.0"
"2013","12","Rajasthan","08","14.0","Bagidora","ST","Khemraj Garasiya","MALE","47.0","ST","BJP","2.0","4.0","200317.0","66691.0","163941.0","40.68","59432.0","36.25","81.84","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Kanpur Cantonment","GEN","Ranjit Singh Sangar","MALE","32.0","GEN","SHS","6.0","15.0","335587.0","422.0","176462.0","0.24","29.0","0.02","52.58","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Baberu","GEN","Nota","None","","GEN","NOTA","4.0","7.0","327885.0","3559.0","193900.0","1.84","678.0","0.35","59.14","0.0","4.0"
"2018","12","Andhra Pradesh","28","2.0","Manakondur","SC","Nishani Ramachandram","MALE","","SC","BSP","6.0","13.0","202497.0","1520.0","172907.0","0.88","475.0","0.27","85.39","0.0","4.0"
