Year (year),Month (month),State Name (state_name),State Code (state_code),Assembly No (assembly_no),Assembly Constituency Name (ac_name),Assmebly Constituency Type (ac_type),Candidate Name (candidate_name),Sex (sex),Age (age),Candidate Type (candidate_type),Party (party),Position (position),Assembly Constituency Candidates (ac_total_candidates),Total Electors in Constituency (total_electors),Total Votes Obtained (total_votes),Total Valid Votes (total_valid_votes),Vote Share Percentage (vote_share_percentage),Margin (margin),Margin Percentage (margin_percentage),Turn out Percentage (turnout_percentage),Poll No (poll_no),Delimit Id (delimit_id)
"2014","5","Andhra Pradesh","28","14.0","Madanapalle","GEN","Uppu.Suresh","MALE","39.0","GEN","IND","20.0","19.0","241094.0","155.0","168986.0","0.09","0.0","0.0","70.09","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Deglur","SC","Gawande Subhash Babarao","MALE","34.0","SC","BBM","14.0","16.0","290397.0","468.0","170479.0","0.27","34.0","0.02","58.71","0.0","4.0"
"2010","11","Bihar","10","15.0","Ziradei","GEN","Binay Kumar Singh Bihari Bhaiya","MALE","50.0","GEN","INC","16.0","29.0","198655.0","1495.0","108043.0","1.38","46.0","0.04","54.39","0.0","4.0"
"2019","10","Maharashtra","27","13.0","Wadala","GEN","Laxman Kashinath Pawar","MALE","59.0","GEN","IND","4.0","7.0","203776.0","6544.0","108600.0","6.03","3112.0","2.87","53.29","0.0","4.0"
"2015","11","Bihar","10","16.0","Sultanganj","GEN","Arun Kumar Singh","MALE","71.0","GEN","IND","11.0","12.0","309131.0","1843.0","154726.0","1.19","640.0","0.41","50.05","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Thousand Lights","GEN","Domnic A","MALE","40.0","GEN","Nam India Naam Indiyar Katchi","11.0","20.0","241671.0","72.0","135940.0","0.05","6.0","0.0","56.25","0.0","4.0"
"2017","12","Gujarat","24","13.0","Chhota Udaipur","ST","Nota","None","","ST","NOTA","3.0","4.0","241734.0","5870.0","163202.0","3.6","1319.0","0.81","67.51","0.0","4.0"
"2012","12","Gujarat","24","12.0","Thakkarbapa Nagar","GEN","Koyani Manubhai Vallabhabhai","MALE","44.0","GEN","IND","10.0","10.0","205544.0","245.0","140817.0","0.17","0.0","0.0","68.51","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Sardarpur","ST","Rukhama Boradi","FEMALE","26.0","ST","IND","7.0","6.0","189462.0","1186.0","130290.0","0.91","0.0","0.0","68.77","0.0","4.0"
"2010","11","Bihar","10","15.0","Baisi","GEN","Mojim","MALE","52.0","GEN","IND","7.0","8.0","190599.0","1251.0","122604.0","1.02","22.0","0.02","64.33","0.0","4.0"
